eleccion,odpe,nombre_odpe,mesas_procesadas,mesas_contabilizadas,mesas_al_jee,electores_procesados,electores_contabilizados,electores_al_jee,mesas_totales,electores_totales,departameto,pct_mesas,pct_mesas_contabilizadas,pct_mesas_al_jee,pct_electores,pct_electores_contabilizados,electores_por_contabilizar,pct_electores_por_contabilizar
Presidencial segunda vuelta,PACASMAYO,PACASMAYO,959,950,9,279589,277042,2547,959,279589,LA LIBERTAD,1,0.9906152241918665,0.009384775808133473,1,0.9908901995429005,2547,0.009109800457099528
Presidencial segunda vuelta,PATAZ,PATAZ,223,223,0,62037,62037,0,223,62037,LA LIBERTAD,1,1,0,1,1,0,0
Presidencial segunda vuelta,SANCHEZ CARRION,SANCHEZ CARRION,631,630,1,179549,179252,297,631,179549,LA LIBERTAD,1,0.9984152139461173,0.001584786053882726,1,0.9983458554489304,297,0.0016541445510696244
Presidencial segunda vuelta,TRUJILLO,TRUJILLO,1446,1428,18,428696,423382,5314,1446,428696,LA LIBERTAD,1,0.9875518672199171,0.012448132780082987,1,0.9876042696922761,5314,0.012395730307723889
Presidencial segunda vuelta,VICTOR LARCO HERRERA,VICTOR LARCO HERRERA,667,661,6,197478,195681,1797,667,197478,LA LIBERTAD,1,0.9910044977511244,0.008995502248875561,1,0.9909002521799897,1797,0.00909974782001033
Presidencial segunda vuelta,CHICLAYO,CHICLAYO,1458,1448,10,430599,427616,2983,1458,430599,LAMBAYEQUE,1,0.9931412894375857,0.006858710562414266,1,0.9930724409485391,2983,0.006927559051460872
Presidencial segunda vuelta,JOSE LEONARDO ORTIZ,JOSE LEONARDO ORTIZ,933,933,0,274607,274607,0,933,274607,LAMBAYEQUE,1,1,0,1,1,0,0
Presidencial segunda vuelta,LAMBAYEQUE,LAMBAYEQUE,1199,1196,3,346144,345244,900,1199,346144,LAMBAYEQUE,1,0.9974979149291076,0.0025020850708924102,1,0.9973999260423407,900,0.00260007395765924
Presidencial segunda vuelta,BRENA,BRENA,355,347,8,104177,101781,2396,355,104177,LIMA,1,0.9774647887323944,0.022535211267605635,1,0.977000681532392,2396,0.022999318467608013
Presidencial segunda vuelta,CANETE,CANETE,668,662,6,194907,193184,1723,668,194907,LIMA,1,0.9910179640718563,0.008982035928143712,1,0.9911598865099766,1723,0.008840113490023447
Presidencial segunda vuelta,CARABAYLLO,CARABAYLLO,855,842,13,252765,248916,3849,855,252765,LIMA,1,0.9847953216374269,0.0152046783625731,1,0.9847724170672364,3849,0.015227582932763634
Presidencial segunda vuelta,CHORRILLOS,CHORRILLOS,1047,1003,44,312259,299118,13141,1047,312259,LIMA,1,0.9579751671442216,0.04202483285577841,1,0.9579163450853299,13141,0.04208365491467019
Presidencial segunda vuelta,HUARAL,HUARAL,607,600,7,175603,173625,1978,607,175603,LIMA,1,0.9884678747940692,0.011532125205930808,1,0.9887359555360672,1978,0.011264044463932848
Presidencial segunda vuelta,HUAROCHIRI,HUAROCHIRI,342,333,9,96193,93728,2465,342,96193,LIMA,1,0.9736842105263158,0.02631578947368421,1,0.9743744347301778,2465,0.02562556526982213
Presidencial segunda vuelta,HUAURA,HUAURA,1148,1139,9,334162,331463,2699,1148,334162,LIMA,1,0.9921602787456446,0.0078397212543554,1,0.9919230792250465,2699,0.008076920774953466
Presidencial segunda vuelta,INDEPENDENCIA,INDEPENDENCIA,595,577,18,177760,172384,5376,595,177760,LIMA,1,0.9697478991596639,0.030252100840336135,1,0.9697569756975698,5376,0.030243024302430244
Presidencial segunda vuelta,LA MOLINA,LA MOLINA,571,558,13,170473,166586,3887,571,170473,LIMA,1,0.9772329246935202,0.02276707530647986,1,0.9771987352835932,3887,0.022801264716406703
Presidencial segunda vuelta,LA VICTORIA,LA VICTORIA,833,807,26,248365,240590,7775,833,248365,LIMA,1,0.9687875150060024,0.031212484993997598,1,0.968695267046484,7775,0.031304732953516
