mesa,electores,region,provincia,distrito,odpe,local,ambito,estado,fp,jp,valid,blancos,nulos,impugnados,contada,p_fp,valid_rate,valid_proyectados,fp_proyectados,jp_proyectados
065608,300,LORETO,MAYNAS,PUNCHANA,MAYNAS,IE 60052 GENERALISIMO JOSE DE SAN MARTIN,PERU,PARA ENVIO AL JEE,112.0,79.0,191.0,0.0,7.0,0.0,False,0.6081367787617572,0.595140797587649,178.5422392762947,108.57810226639675,69.96413700989795
065898,230,LORETO,MAYNAS,BELEN,MAYNAS,IEI 317 LAS COLINAS,PERU,PARA ENVIO AL JEE,90.0,45.0,135.0,2.0,9.0,0.0,False,0.6216189023832313,0.6037883434654278,138.87131899704838,86.32503688745679,52.54628210959159
065939,275,LORETO,MAYNAS,BELEN,MAYNAS,IE 601606 VIOLETA CORREA DE BELAUNDE,PERU,PARA ENVIO AL JEE,121.0,70.0,191.0,0.0,0.0,0.0,False,0.6216189023832313,0.6037883434654278,166.04179445299263,103.21471801761137,62.82707643538126
066095,300,LORETO,MAYNAS,SAN JUAN BAUTISTA,MAYNAS,IE 60110 - QUISTOCOCHA,PERU,PARA ENVIO AL JEE,122.0,78.0,200.0,1.0,8.0,3.0,False,0.5834925656775224,0.5984754937780888,179.54264813342664,104.76180040790973,74.7808477255169
066122,300,LORETO,MAYNAS,SAN JUAN BAUTISTA,MAYNAS,IE 6010194 MARIA SOCORRO MENDOZA MENDOZA,PERU,PARA ENVIO AL JEE,107.0,48.0,155.0,0.0,10.0,0.0,False,0.5834925656775224,0.5984754937780888,179.54264813342664,104.76180040790973,74.7808477255169
066124,300,LORETO,MAYNAS,SAN JUAN BAUTISTA,MAYNAS,IE 6010194 MARIA SOCORRO MENDOZA MENDOZA,PERU,PARA ENVIO AL JEE,206.0,44.0,250.0,3.0,13.0,0.0,False,0.5834925656775224,0.5984754937780888,179.54264813342664,104.76180040790973,74.7808477255169
065962,300,LORETO,MAYNAS,SAN JUAN BAUTISTA,MAYNAS,CEBE 9 DE OCTUBRE,PERU,PARA ENVIO AL JEE,120.0,94.0,214.0,2.0,11.0,1.0,False,0.5834925656775224,0.5984754937780888,179.54264813342664,104.76180040790973,74.7808477255169
066247,300,LORETO,MAYNAS,SAN JUAN BAUTISTA,MAYNAS,IE 60027 SANTA CLARA DE NANAY,PERU,PARA ENVIO AL JEE,129.0,67.0,196.0,0.0,13.0,0.0,False,0.5834925656775224,0.5984754937780888,179.54264813342664,104.76180040790973,74.7808477255169
066309,299,LORETO,ALTO AMAZONAS,YURIMAGUAS,ALTO AMAZONAS,IE 62172 JORGE ALFONSO VASQUEZ REATEGUI,PERU,PARA ENVIO AL JEE,65.0,113.0,178.0,0.0,3.0,1.0,False,0.3960241849932886,0.6232999036434574,186.36667118939377,73.80570906769186,112.5609621217019
066323,299,LORETO,ALTO AMAZONAS,YURIMAGUAS,ALTO AMAZONAS,IE 62002 MATILDE TUNJAR GUZMAN DE VELA,PERU,PARA ENVIO AL JEE,66.0,85.0,151.0,5.0,10.0,0.0,False,0.3960241849932886,0.6232999036434574,186.36667118939377,73.80570906769186,112.5609621217019
066344,293,LORETO,ALTO AMAZONAS,YURIMAGUAS,ALTO AMAZONAS,IE INDUSTRIAL 029,PERU,PARA ENVIO AL JEE,73.0,94.0,167.0,0.0,70.0,0.0,False,0.3960241849932886,0.6232999036434574,182.62687176753303,72.3246580496111,110.30221371792193
066504,295,LORETO,ALTO AMAZONAS,JEBEROS,ALTO AMAZONAS,IE 62022,PERU,NO PROCESADA,0.0,0.0,0.0,0.0,0.0,0.0,False,0.3450233710242975,0.5606292002734771,165.38561408067574,57.06190208903826,108.32371199163748
066505,300,LORETO,ALTO AMAZONAS,JEBEROS,ALTO AMAZONAS,IE 62022,PERU,NO PROCESADA,0.0,0.0,0.0,0.0,0.0,0.0,False,0.3450233710242975,0.5606292002734771,168.18876008204313,58.02905297190332,110.1597071101398
066506,300,LORETO,ALTO AMAZONAS,JEBEROS,ALTO AMAZONAS,IE 62022,PERU,NO PROCESADA,0.0,0.0,0.0,0.0,0.0,0.0,False,0.3450233710242975,0.5606292002734771,168.18876008204313,58.02905297190332,110.1597071101398
066507,300,LORETO,ALTO AMAZONAS,JEBEROS,ALTO AMAZONAS,IE 62022,PERU,NO PROCESADA,0.0,0.0,0.0,0.0,0.0,0.0,False,0.3450233710242975,0.5606292002734771,168.18876008204313,58.02905297190332,110.1597071101398
066508,300,LORETO,ALTO AMAZONAS,JEBEROS,ALTO AMAZONAS,IE 62022,PERU,NO PROCESADA,0.0,0.0,0.0,0.0,0.0,0.0,False,0.3450233710242975,0.5606292002734771,168.18876008204313,58.02905297190332,110.1597071101398
066509,273,LORETO,ALTO AMAZONAS,JEBEROS,ALTO AMAZONAS,IE JEBEROS,PERU,NO PROCESADA,0.0,0.0,0.0,0.0,0.0,0.0,False,0.3450233710242975,0.5606292002734771,153.05177167465925,52.80643820443202,100.24533347022722
066510,289,LORETO,ALTO AMAZONAS,JEBEROS,ALTO AMAZONAS,IE JEBEROS,PERU,NO PROCESADA,0.0,0.0,0.0,0.0,0.0,0.0,False,0.3450233710242975,0.5606292002734771,162.02183887903487,55.9013210296002,106.12051784943468
066511,289,LORETO,ALTO AMAZONAS,JEBEROS,ALTO AMAZONAS,IE JEBEROS,PERU,NO PROCESADA,0.0,0.0,0.0,0.0,0.0,0.0,False,0.3450233710242975,0.5606292002734771,162.02183887903487,55.9013210296002,106.12051784943468
066512,289,LORETO,ALTO AMAZONAS,JEBEROS,ALTO AMAZONAS,IE JEBEROS,PERU,NO PROCESADA,0.0,0.0,0.0,0.0,0.0,0.0,False,0.3450233710242975,0.5606292002734771,162.02183887903487,55.9013210296002,106.12051784943468
066513,289,LORETO,ALTO AMAZONAS,JEBEROS,ALTO AMAZONAS,IE JEBEROS,PERU,NO PROCESADA,0.0,0.0,0.0,0.0,0.0,0.0,False,0.3450233710242975,0.5606292002734771,162.02183887903487,55.9013210296002,106.12051784943468
066514,289,LORETO,ALTO AMAZONAS,JEBEROS,ALTO AMAZONAS,IE JEBEROS,PERU,NO PROCESADA,0.0,0.0,0.0,0.0,0.0,0.0,False,0.3450233710242975,0.5606292002734771,162.02183887903487,55.9013210296002,106.12051784943468
066515,289,LORETO,ALTO AMAZONAS,JEBEROS,ALTO AMAZONAS,IE JEBEROS,PERU,NO PROCESADA,0.0,0.0,0.0,0.0,0.0,0.0,False,0.3450233710242975,0.5606292002734771,162.02183887903487,55.9013210296002,106.12051784943468
066516,289,LORETO,ALTO AMAZONAS,JEBEROS,ALTO AMAZONAS,IE JEBEROS,PERU,NO PROCESADA,0.0,0.0,0.0,0.0,0.0,0.0,False,0.3450233710242975,0.5606292002734771,162.02183887903487,55.9013210296002,106.12051784943468
903365,236,LORETO,ALTO AMAZONAS,JEBEROS,ALTO AMAZONAS,IE 62345 BETHEL,PERU,NO PROCESADA,0.0,0.0,0.0,0.0,0.0,0.0,False,0.3450233710242975,0.5606292002734771,132.30849126454058,45.64952167123061,86.65896959330996
066541,300,LORETO,ALTO AMAZONAS,LAGUNAS,ALTO AMAZONAS,IE 62017,PERU,PARA ENVIO AL JEE,41.0,0.0,41.0,2.0,3.0,0.0,False,0.3045273345956272,0.44947085820347965,134.84125746104388,41.06284872813442,93.77840873290947
066596,299,LORETO,LORETO,NAUTA,MAYNAS,IE 60520 MIGUEL GRAU SEMINARIO,PERU,PARA ENVIO AL JEE,96.0,76.0,172.0,2.0,9.0,1.0,False,0.518426868428382,0.5342476955160081,159.74006095928644,82.81353956568172,76.92652139360472
066715,300,LORETO,LORETO,URARINAS,MAYNAS,IEI 361,PERU,PARA ENVIO AL JEE,42.0,20.0,62.0,2.0,2.0,0.0,False,0.5347335572374013,0.39277655196462824,117.83296558938846,63.009240849446,54.82372473994246
903537,284,LORETO,LORETO,URARINAS,MAYNAS,IE 60534 CESAR VALLEJO MENDOZA,PERU,PARA ENVIO AL JEE,66.0,27.0,93.0,1.0,8.0,0.0,False,0.5347335572374013,0.39277655196462824,111.54854075795441,59.64874800414221,51.8997927538122
903539,284,LORETO,LORETO,URARINAS,MAYNAS,IE 60534 CESAR VALLEJO MENDOZA,PERU,PARA ENVIO AL JEE,31.0,18.0,49.0,3.0,7.0,0.0,False,0.5347335572374013,0.39277655196462824,111.54854075795441,59.64874800414221,51.8997927538122
066735,298,LORETO,LORETO,TROMPETEROS,MAYNAS,IEI 373,PERU,PARA ENVIO AL JEE,33.0,93.0,126.0,1.0,6.0,0.0,False,0.5299287265417719,0.34922389154666694,104.06871968090675,55.149004093335556,48.9197155875712
066753,287,LORETO,REQUENA,REQUENA,REQUENA,IE PADRE AGUSTIN LOPEZ PARDO,PERU,PARA ENVIO AL JEE,96.0,75.0,171.0,1.0,3.0,4.0,False,0.588069524603009,0.5671068398560984,162.75966303870024,95.71399766771438,67.04566537098586
066837,274,LORETO,REQUENA,EMILIO SAN MARTIN,REQUENA,IE 60616 FERNANDO BERDINET PEREZ,PERU,PARA ENVIO AL JEE,92.0,32.0,124.0,1.0,7.0,0.0,False,0.617668133826995,0.41158932061347697,112.77547384809269,69.6578164732065,43.11765737488619
