ambito,region,odpe,actas_pendientes,electores_pendientes,validos_proyectados,fp_proyectados,jp_proyectados,margen_proyectado_fp
PERU,SAN MARTIN,MARISCAL CACERES,6,1656,1034.5942233601795,411.6583704048105,622.9358529553689,-211.27748255055837
PERU,APURIMAC,ANDAHUAYLAS,6,1504,1009.9544483813248,151.53978968284042,858.4146586984845,-706.874869015644
PERU,AREQUIPA,CAMANA,5,1489,1059.1809747643026,416.916951643017,642.2640231212856,-225.34707147826862
PERU,JUNIN,EL TAMBO,5,1467,1060.6892058479202,482.23518290420543,578.4540229437147,-96.21884003950925
PERU,JUNIN,HUANCAYO,5,1461,1059.4023105118815,518.269636310988,541.1326742008936,-22.863037889905627
PERU,HUANUCO,LEONCIO PRADO,5,1416,904.6818437779823,365.00316130853247,539.6786824694498,-174.6755211609173
PERU,MADRE DE DIOS,TAMBOPATA,5,1395,915.701513523055,297.2138544551581,618.487659067897,-321.27380461273884
PERU,ANCASH,HUARMEY,5,1366,967.0717055896259,529.4720178106611,437.59968777896484,91.87233003169626
PERU,JUNIN,TARMA,5,1360,937.9257920663541,462.0202197163578,475.9055723499963,-13.88535263363849
PERU,SAN MARTIN,MOYOBAMBA,4,1171,794.1173062677385,328.42892996749407,465.68837630024444,-137.25944633275037
PERU,SAN MARTIN,SAN MARTIN,4,1167,841.0631190663107,465.43994936409325,375.6231697022174,89.81677966187584
PERU,CAJAMARCA,CHOTA,4,1047,569.0705974266174,131.2948950165408,437.77570241007663,-306.4808073935358
PERU,HUANCAVELICA,TAYACAJA,4,961,532.6074170231958,101.28340378437667,431.32401323881913,-330.04060945444246
PERU,LAMBAYEQUE,LAMBAYEQUE,3,900,645.1217771749281,348.01940415285765,297.1023730220704,50.91703113078722
PERU,CUSCO,URUBAMBA,3,900,564.6909852994473,95.88275662834073,468.8082286711066,-372.9254720427658
PERU,LA LIBERTAD,LA ESPERANZA,3,890,603.641169659433,344.4337203546146,259.20744930481834,85.22627104979625
PERU,HUANCAVELICA,HUANCAVELICA,3,885,575.4581368985359,92.94202678314996,482.51611011538597,-389.574083332236
PERU,AYACUCHO,HUANTA,3,880,501.6296521318613,101.80471946939724,399.82493266246405,-298.0202131930668
PERU,CUSCO,QUISPICANCHI,3,878,602.8781496388134,54.0210756232186,548.8570740155948,-494.83599839237615
PERU,JUNIN,JAUJA,3,876,592.1459927444739,278.99184775157556,313.15414499289835,-34.16229724132279
PERU,HUANUCO,PUERTO INCA,3,858,460.940074897905,187.1935117119557,273.7465631859493,-86.5530514739936
PERU,HUANCAVELICA,ANGARAES,3,797,480.8676312345615,70.38226405226533,410.48536718229616,-340.10310313003083
PERU,CUSCO,CANCHIS,2,600,422.5907202544746,56.45126848919452,366.1394517652801,-309.6881832760856
PERU,APURIMAC,ABANCAY,2,600,421.908767871195,124.16144036911714,297.74732750207784,-173.5858871329607
PERU,PUNO,HUANCANE,2,599,404.50956100952953,30.17226741553592,374.33729359399365,-344.1650261784577
PERU,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,2,593,460.4725164990295,154.65777806524585,305.81473843378365,-151.1569603685378
