ambito,region,odpe,total,contabilizadas,jee,no_ingresadas,electores_pendientes,pendientes,pct_contabilizadas
PERU,CUSCO,CANCHIS,488,486,2,0,600,2,99.59016393442623
PERU,PUNO,HUANCANE,292,290,2,0,599,2,99.31506849315069
PERU,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,655,653,2,0,593,2,99.69465648854961
PERU,LORETO,MARISCAL RAMON CASTILLA,196,194,2,0,591,2,98.9795918367347
PERU,TUMBES,TUMBES,632,630,2,0,590,2,99.68354430379746
PERU,HUANUCO,YAROWILCA,193,191,2,0,589,2,98.96373056994818
PERU,AREQUIPA,AREQUIPA,1250,1248,2,0,575,2,99.84
PERU,APURIMAC,GRAU,251,249,2,0,569,2,99.20318725099601
PERU,CUSCO,ESPINAR,453,451,2,0,558,2,99.55849889624724
PERU,AREQUIPA,CONDESUYOS,104,102,2,0,512,2,98.07692307692308
PERU,PUNO,CHUCUITO,339,337,2,0,469,2,99.41002949852508
PERU,AMAZONAS,CHACHAPOYAS,431,429,2,0,464,2,99.53596287703016
EXTRANJERO,OCEANIA,LIMA CENTRO 1,21,20,1,0,467,1,95.23809523809524
PERU,LORETO,UCAYALI,184,183,1,0,300,1,99.45652173913044
PERU,MOQUEGUA,MARISCAL NIETO,345,344,1,0,300,1,99.71014492753623
PERU,PUNO,AZANGARO,561,560,1,0,300,1,99.82174688057042
PERU,HUANCAVELICA,HUAYTARA,153,152,1,0,299,1,99.34640522875817
PERU,LA LIBERTAD,SANCHEZ CARRION,631,630,1,0,297,1,99.84152139461173
PERU,ANCASH,HUAYLAS,365,364,1,0,296,1,99.72602739726027
PERU,PUNO,SAN ANTONIO DE PUTINA,258,257,1,0,290,1,99.6124031007752
PERU,MOQUEGUA,ILO,233,232,1,0,288,1,99.57081545064378
PERU,ANCASH,POMABAMBA,239,238,1,0,248,1,99.581589958159
PERU,AMAZONAS,BAGUA,763,762,1,0,230,1,99.8689384010485
PERU,ANCASH,RECUAY,178,177,1,0,210,1,99.43820224719101
PERU,AYACUCHO,LUCANAS,158,157,1,0,72,1,99.36708860759494
EXTRANJERO,AFRICA,LIMA CENTRO 1,6,5,0,1,59,1,83.33333333333333
PERU,AMAZONAS,BONGARA,84,84,0,0,0,0,100.0
PERU,AREQUIPA,CAYLLOMA,405,405,0,0,0,0,100.0
PERU,AYACUCHO,CANGALLO,263,263,0,0,0,0,100.0
PERU,AYACUCHO,PARINACOCHAS,111,111,0,0,0,0,100.0
PERU,CAJAMARCA,CUTERVO,381,381,0,0,0,0,100.0
PERU,CAJAMARCA,JAEN,1015,1015,0,0,0,0,100.0
PERU,CAJAMARCA,SAN PABLO,316,316,0,0,0,0,100.0
PERU,HUANUCO,HUAMALIES,348,348,0,0,0,0,100.0
PERU,LA LIBERTAD,PATAZ,223,223,0,0,0,0,100.0
PERU,LAMBAYEQUE,JOSE LEONARDO ORTIZ,933,933,0,0,0,0,100.0
PERU,LIMA,YAUYOS,114,114,0,0,0,0,100.0
